rank,source_name,source_family,priority_tier,region_or_country,access_type,refresh_cadence,output_formats,primary_use,notes,url
1,UNHCR Egypt data portal,humanitarian,tier1,Egypt,html/json,weekly,json;csv,"Registered refugee baseline, Sudan arrivals, and Egypt backtest anchoring.",Primary hard-baseline source for Egypt pilot and district prioritization.,https://data.unhcr.org/en/country/egy
2,IOM DTM Sudan,humanitarian,tier1,Sudan/Regional,html/pdf,weekly,json;csv,Displacement tracking and spillover context for Egypt and regional movement analysis.,Use alongside UNHCR for event windows and cross-border movement context.,https://dtm.iom.int/sudan
3,UNHCR Lebanon reporting hub,humanitarian,tier1,Lebanon,html/pdf,weekly,json;csv,Flash updates and return/movement reporting for the Lebanon/Syria corridor.,Primary hard-baseline source for Lebanon movement overlays.,https://data.unhcr.org/en/country/lbn
4,ACAPS Lebanon,humanitarian,tier1,Lebanon,html,weekly,json;csv,"Conflict, displacement, and humanitarian context for interpreting Lebanon anomalies.",Narrative baseline that complements UNHCR flash updates.,https://www.acaps.org/en/countries/lebanon
5,OCHA OPT Gaza updates,humanitarian,tier1,Gaza/OPT,html,biweekly,json;csv,Market-collapse and humanitarian deterioration timeline for Gaza baseline analysis.,Verified on 2026-03-26. Latest report published 2026-03-19 covering the period up to late March. Highlights include the Feb 28 crossing closures and March 14 sandstorm impact.,https://www.ochaopt.org/reports/situation-reports
6,IPC Gaza snapshot,humanitarian,tier1,Gaza/OPT,pdf,periodic,json;csv,Food insecurity severity and projection windows for Gaza backtesting.,Verified on 2026-03-26. Use issue 142 archive for accessibility. Latest special snapshot published 2025-12-19; validity extends to April 2026.,https://www.ipcinfo.org/ipcinfo-website/countries-in-focus-archive/issue-142/en/
7,IPC Lebanon analysis,humanitarian,tier1,Lebanon,html,periodic,json;csv,District-level stress context for Lebanon food-market interpretation.,Verified on 2026-03-26. Latest release 2025-12-23; validity extends to July 2026.,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159824/
8,WFP Retail and Markets factsheet,market,tier1,Lebanon,pdf,periodic,json;csv,Retail and market-functionality context for Lebanon and confound handling.,Verified on 2026-03-26. Use the ReliefWeb aggregator for Lebanon market monitors. March 2026 report (2026-03-25) highlights Iran-crisis price shocks.,https://reliefweb.int/updates?view=reports&search=Lebanon+Market+Monitor
9,UN Comtrade API portal,trade,tier1,Global,html/api,monthly,json;csv,"Import/export trendlines for bakery inputs, sweets, nuts, dates, and savory snacks.",Best macro source for import-shift corroboration. Verified API availability on 2026-03-25.,https://comtradeplus.un.org/DataAvailability
10,USDA FAS Saudi Retail Foods Annual,market,tier1,Saudi Arabia,html/pdf,annual,json;csv,"Saudi retail structure, chain mix, and snack-category growth context.",Verified on 2026-03-26. Latest annual report published 2025-09-24; remains current for 2026 baseline.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Riyadh_Saudi+Arabia_SA2025-0015
