task_id,status,priority,agent,region,source_id,artifact,target_date,depends_on,next_action,acceptance_criteria
ACC-003,in_progress,high,baseline_accountant,Egypt,,artifacts/v0_1/event-timeline.csv,2026-03-26,ACC-001|ACC-002,,Egypt baseline event rows include access timestamps and notes
ACC-004,pending,medium,district_tracker,Egypt,,artifacts/v0_1/district-watchlist.csv,2026-03-27,ACC-003,,Cairo/Giza monitoring districts are frozen with control notes
ACC-005,pending,medium,anomaly_scorer,Egypt,,artifacts/v0_1/anomaly-review-worksheet.csv,2026-03-28,ACC-004,,First anomaly row contains baseline event reference and confound note
ACC-006,in_progress,high,baseline_accountant,Israel,,artifacts/briefings/israel-pilot-2026-03-26/event_baseline.csv,2026-03-26,ACC-003,,Israel baseline event rows include access timestamps and notes
ACC-RA-033,pending,medium,source_monitor,Israel,seed-33,plans/recent_accounting.csv,2026-07-04,,Track the Ashdod financial-information hub and the newest linked presentation to capture future releases.,"Ashdod Port Financial and Operating Updates row captures the latest visible publication date, coverage period, evidence link, and next action, or records an explicit blocker/manual-review note"
EXT-011,blocked,high,proxy_accountant,Regional,seed-11,artifacts/collection/normalized/seed-11.json,2026-03-28,,"Configure a bounded API key, quota limits, and field masks before live collection.","Google Places API staged execution contract is either completed and captured in the expected collection artifacts, or blocked state is recorded with the next required operator action"
EXT-012,pending,high,proxy_accountant,Regional,seed-12,artifacts/collection/normalized/seed-12.json,2026-03-28,,"Keep Overpass queries bounded and monitor endpoint policy, latency, and query failures.","OpenStreetMap Overpass staged execution contract is either completed and captured in the expected collection artifacts, or blocked state is recorded with the next required operator action"
EXT-013,pending,low,proxy_accountant,Regional,seed-13,artifacts/collection/normalized/seed-13.json,2026-03-28,,"Capture the pinned page or export surface, retain the raw artifact, and record the visible publication date and coverage note.","Google Maps billing guidance staged execution contract is either completed and captured in the expected collection artifacts, or blocked state is recorded with the next required operator action"
EXT-017,pending,low,proxy_accountant,Regional,seed-17,artifacts/collection/normalized/seed-17.json,2026-03-28,,"Keep Overpass queries bounded and monitor endpoint policy, latency, and query failures.","Overpass Turbo staged execution contract is either completed and captured in the expected collection artifacts, or blocked state is recorded with the next required operator action"
EXT-018,pending,low,source_monitor,UAE,seed-18,artifacts/collection/normalized/seed-18.json,2026-03-28,,"Capture the pinned page or export surface, retain the raw artifact, and record the visible publication date and coverage note.","Deliveroo UAE trend releases staged execution contract is either completed and captured in the expected collection artifacts, or blocked state is recorded with the next required operator action"
EXT-019,pending,low,source_monitor,UAE,seed-19,artifacts/collection/normalized/seed-19.json,2026-03-28,,"Capture the pinned page or export surface, retain the raw artifact, and record the visible publication date and coverage note.","Spinneys UAE trends staged execution contract is either completed and captured in the expected collection artifacts, or blocked state is recorded with the next required operator action"
EXT-020,pending,low,source_monitor,Regional,seed-20,artifacts/collection/normalized/seed-20.json,2026-03-28,,"Open the export surface with the exact query settings, retain the exported file, and record the capture configuration.","Google Trends staged execution contract is either completed and captured in the expected collection artifacts, or blocked state is recorded with the next required operator action"
VER-001,completed,high,source_monitor,Global,seed-25;seed-33,plans/source_verification_sprint.csv,2026-03-26,,Review the verification tracker and close any remaining non-verified lane rows.,"Verification tracker exists and captures latest visible dates, evidence links, and next actions for all scoped sources"
VER-003,completed,high,humanitarian_feed_research,Global,seed-25,plans/source_verification_sprint.csv,2026-03-26,VER-001,Humanitarian-feed rows have verified activity evidence and latest visible recency signals,Humanitarian-feed rows have verified activity evidence and latest visible recency signals
VER-004,completed,high,market_monitor_research,Israel,seed-33,plans/source_verification_sprint.csv,2026-03-26,VER-001,Market-monitor row has verified activity evidence and latest visible recency signal,Market-monitor row has verified activity evidence and latest visible recency signal
