rank,source_name,source_family,priority_tier,region_or_country,access_type,refresh_cadence,output_formats,primary_use,notes,url
1,UNHCR Egypt data portal,humanitarian,tier1,Egypt,html/json,weekly,json;csv,"Registered refugee baseline, Sudan arrivals, and Egypt backtest anchoring.",Primary hard-baseline source for Egypt pilot and district prioritization.,https://data.unhcr.org/en/country/egy
2,IOM DTM Sudan,humanitarian,tier1,Sudan/Regional,html/pdf,weekly,json;csv,Displacement tracking and spillover context for Egypt and regional movement analysis.,Use alongside UNHCR for event windows and cross-border movement context.,https://dtm.iom.int/sudan
3,UNHCR Lebanon reporting hub,humanitarian,tier1,Lebanon,html/pdf,weekly,json;csv,Flash updates and return/movement reporting for the Lebanon/Syria corridor.,Primary hard-baseline source for Lebanon movement overlays.,https://reporting.unhcr.org/lebanon-flash-update
4,ACAPS Lebanon,humanitarian,tier1,Lebanon,html,weekly,json;csv,"Conflict, displacement, and humanitarian context for interpreting Lebanon anomalies.",Narrative baseline that complements UNHCR flash updates.,https://www.acaps.org/en/countries/lebanon
5,OCHA OPT Gaza updates,humanitarian,tier1,Gaza/OPT,html,biweekly,json;csv,Market-collapse and humanitarian deterioration timeline for Gaza baseline analysis.,"Treat Gaza as market-functionality collapse, not preference analysis.",https://www.ochaopt.org/content/gaza-humanitarian-response-update-30-march-12-april-2025
6,IPC Gaza snapshot,humanitarian,tier1,Gaza/OPT,pdf,periodic,json;csv,Food insecurity severity and projection windows for Gaza backtesting.,Pair with OCHA and any observable market proxy signals.,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Gaza_Strip_Acute_Food_Insecurity_Malnutrition_Apr_Sept2025_Special_Snapshot.pdf
7,IPC Lebanon analysis,humanitarian,tier1,Lebanon,html,periodic,json;csv,District-level stress context for Lebanon food-market interpretation.,Useful as a confound control for broad market stress.,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159456/
8,WFP Retail and Markets factsheet,market,tier1,Lebanon,pdf,periodic,json;csv,Retail and market-functionality context for Lebanon and confound handling.,"Support source, not standalone detection evidence.",https://www.wfp.org/publications/retail-and-markets-factsheet-2023
9,UN Comtrade API portal,trade,tier1,Global,html/api,monthly,json;csv,"Import/export trendlines for bakery inputs, sweets, nuts, dates, and savory snacks.",Best macro source for import-shift corroboration.,https://comtrade.un.org/data/dev/portal/
10,USDA FAS Saudi Retail Foods Annual,market,tier1,Saudi Arabia,html/pdf,annual,json;csv,"Saudi retail structure, chain mix, and snack-category growth context.",Anchor source for Saudi channel and assortment planning.,https://www.fas.usda.gov/data/saudi-arabia-retail-foods-annual
11,Google Places API,place,tier1,Regional,api,weekly,json;csv,"Compliant place discovery and metadata retrieval for bakeries, groceries, cafés, and sweets shops.",Core structured place source; enforce quotas and field restrictions.,https://developers.google.com/maps/documentation/places/web-service
12,OpenStreetMap Overpass,place,tier1,Regional,api,weekly,json;csv,"POI extraction for bakeries, groceries, cafés, confectionery shops, and supermarkets.",Use to complement Google Places and fill in tagged local coverage.,https://wiki.openstreetmap.org/wiki/Overpass_API/Overpass_QL
13,Google Maps billing guidance,place,tier2,Regional,html,as needed,json;csv,"Quota, budget, and field-mask controls for compliant Google Places usage.",Operational safeguard to keep API use controlled and auditable.,https://developers.google.com/maps/billing-and-pricing/manage-costs
14,Agthia Abu Auf IR releases,investor_relations,tier2,Egypt/UAE,html/pdf,quarterly,json;csv,Premium-snack formalization and store-expansion proxy for Egypt.,Business proxy only; never direct demographic proof.,https://www.agthia.com/news/agthia-group-consolidates-additional-10-stake-in-egyptian-healthy-snacks-and-coffee-company-abu-auf-group/
15,WFP Lebanon food systems publication,market,tier2,Lebanon,html,periodic,json;csv,Food-system resilience context and institutional market framing.,"Useful for controls and policy framing, not direct event detection.",https://www.wfp.org/publications/strengthening-government-institutions-inclusive-food-systems-transformation-lebanon
16,UNSD API catalogue,trade,tier2,Global,html,as needed,json;csv,Discovery path for official UN statistical APIs beyond the core Comtrade endpoint.,Reference source for future API expansion.,https://unstats.un.org/unsd/api/
17,Overpass Turbo,place,tier2,Regional,web,as needed,json;csv,Analyst query prototyping and export for Overpass-based collection.,Use for analyst iteration before automating query packs.,https://overpass-turbo.eu/
18,Deliveroo UAE trend releases,consumer_trends,tier2,UAE,html,occasional,json;csv,Directional trend signal for UAE premiumization and mainstreaming.,Soft evidence only; cap at supporting role in migration analysis.,https://deliveroo.ae/more/news-articles/11-dishes-from-uae-restaurants-make-it-to-deliveroo-s-top-100-trending-dishes-of-2024
19,Spinneys UAE trends,consumer_trends,tier2,UAE,html,occasional,json;csv,"Retail narrative context for premiumization, flavor drift, and merchandising changes.","Use only as weak corroboration, never as standalone proof.",https://www.spinneys.com/en-ae/lifestyle/top-trends-2025/
20,Google Trends,trends,tier2,Regional,web,weekly,json;csv,Relative interest shifts for food terms by geography and period.,Weak signal; use only with stronger place or baseline evidence.,https://trends.google.com/explore
