source_id,rank,source_name,source_family,priority_tier,region_or_country,refresh_cadence,expected_recency_window,last_checked_utc,last_published_date,latest_period_covered,claim_date_utc,recency_status,owner,evidence_link,mirror_evidence_link,evidence_path,status,next_check_due_utc,next_action,notes,url
seed-01,1,UNHCR Egypt data portal,humanitarian,tier1,Egypt,weekly,8 days,2026-03-28T14:20:02Z,2026-03-23,2026-03-19,2026-03-26T10:00:00Z,current,source_monitor,https://data.unhcr.org/en/documents/details/121681,,artifacts/collection/raw/seed-01/run-seed-01-detail.html,in_review,2026-04-05T14:20:02Z,Keep following the UNHCR document index and promote the newest matching detail page when a later publication appears.,UNHCR document index captured on 2026-03-28T14:20:02Z. Latest matching title: Egypt: New Arrivals from Sudan as of 19 March 2026; publish date: 2026-03-23; upload date: 2026-03-23; covered period: 2026-03-19.,https://data.unhcr.org/en/country/egy
seed-02,2,IOM DTM Sudan,humanitarian,tier1,Sudan/Regional,weekly,8 days,2026-03-28T14:20:02Z,2026-03-26,2026-03-26,2026-03-26T10:00:00Z,current,source_monitor,https://dtm.iom.int/sudan,,artifacts/collection/raw/seed-02/run-seed-02.html,in_review,2026-04-05T14:20:02Z,Follow the IOM Crisis Response Plan 2026 for returnee tracking (3M+) and IDP baseline update (10M+).,IOM DTM Sudan public page was blocked; preserving the latest verified accounting row as fallback evidence until a collectible public metadata surface is available.,https://dtm.iom.int/sudan
seed-03,3,UNHCR Lebanon reporting hub,humanitarian,tier1,Lebanon,weekly,8 days,2026-03-28T14:20:02Z,2026-03-25,2026-03-24,2026-03-26T10:00:00Z,current,source_monitor,https://data.unhcr.org/en/documents/details/121699,,artifacts/collection/raw/seed-03/run-seed-03-detail.html,in_review,2026-04-05T14:20:02Z,Keep following the UNHCR document index and promote the newest matching detail page when a later publication appears.,UNHCR document index captured on 2026-03-28T14:20:02Z. Latest matching title: Middle East Situation - as of 24 March 2026; publish date: 2026-03-25; upload date: 2026-03-25; covered period: 2026-03-24.,https://data.unhcr.org/en/country/lbn
seed-04,4,ACAPS Lebanon,humanitarian,tier1,Lebanon,weekly,8 days,2026-03-28T14:20:04Z,2026-03-25,2026-03-11,2026-03-26T10:00:00Z,current,source_monitor,https://www.acaps.org/en/countries/lebanon,,artifacts/collection/raw/seed-04/run-seed-04.html,in_review,2026-04-05T14:20:04Z,Watch the ACAPS Lebanon country page and archive index for the next dated update or crisis note.,"ACAPS Lebanon country page parsed on 2026-03-28T14:20:04Z. Latest visible update date: 2026-03-25. Latest summary excerpt: Air strikes and infrastructure destruction in southern Lebanon have rendered key access routes inaccessible, disrupting the delivery of food, fuel, and medical supplies. Many peopl.",https://www.acaps.org/en/countries/lebanon
seed-05,5,OCHA OPT Gaza updates,humanitarian,tier1,Gaza/OPT,biweekly,16 days,2026-03-26T10:00:00Z,2026-03-19,2026-03-19,2026-03-26T10:00:00Z,current,source_monitor,https://www.ochaopt.org/publications/situation-reports,,,in_review,2026-04-11T10:00:00Z,Track the rolling OCHA situation-reports index for the next Gaza humanitarian response update,Verified on 2026-03-26. Report from March 19 covers Ramadan conclusion and March 14 sandstorm.,https://www.ochaopt.org/publications/situation-reports
seed-06,6,IPC Gaza snapshot,humanitarian,tier1,Gaza/OPT,periodic,manual review,2026-03-28T14:20:06Z,2025-12-19,2025-10/2026-04,,current,,https://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/docs/IPC_Gaza_Strip_Acute_Food_Insecurity_Malnutrition_Oct2025_Apr2026_Special_Snapshot.pdf,,artifacts/collection/raw/seed-06/run-seed-06.html,in_review,,Keep collecting the IPC Gaza snapshot archive page or fallback PDF when direct requests remain blocked.,Official current IPC Gaza page is Cloudflare-blocked from direct collection; archive issue 142 and the pinned PDF remain directly accessible and show Published on 19 December 2025.,https://www.ipcinfo.org/ipcinfo-website/countries-in-focus-archive/issue-142/en/
seed-07,7,IPC Lebanon analysis,humanitarian,tier1,Lebanon,periodic,manual review,2026-03-28T14:20:06Z,2025-12-23,2025-11/2026-07,,current,,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159824/,,artifacts/collection/raw/seed-07/run-seed-07.html,in_review,,Keep watching the IPC Lebanon country-analysis page for the next release date and validity-window update.,Verified against the IPC Lebanon analysis page released on 2025-12-23 with validity 2025-11-01 to 2026-07-31 and linked report IPC_Lebanon_Acute_Food_Insecurity_Nov2025_July2026_Report.pdf.,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159824/
seed-08,8,WFP Retail and Markets factsheet,market,tier2,Lebanon,periodic,manual review,2026-03-28T14:20:06Z,2025-10-08,2025-09,,manual_review,,https://www.wfp.org/publications-WFP-Lebanon-Programme-Factsheets-2025,,artifacts/collection/raw/seed-08/run-seed-08-page.html,in_review,,Monitor the current WFP Lebanon programme factsheet page and update the pinned document URL when a newer release appears.,WFP Lebanon factsheet capture parsed on 2026-03-28T14:20:06Z. Evidence page: https://www.wfp.org/publications-WFP-Lebanon-Programme-Factsheets-2025; selected document: https://docs.wfp.org/api/documents/WFP-0000169349/download/; publication date: 2025-10-08; PDF metadata date: 2025-10-06; latest visible coverage marker: 2025-09.,https://www.wfp.org/publications-WFP-Lebanon-Programme-Factsheets-2025
seed-09,9,UN Comtrade API portal,trade,tier1,Global,monthly,35 days,2026-03-28T14:20:08Z,2026-03-28,,,current,,https://comtradeplus.un.org/api/DataAvailability/getComtradeTrend,,artifacts/collection/raw/seed-09/run-seed-09.json,in_review,2026-05-02T14:20:08Z,Track the Comtrade Plus data-availability API and add file-level publication metadata if a stable public endpoint is exposed.,Comtrade data-availability API captured on 2026-03-28T14:20:08Z. Last updated date: 2026-03-28; released bucket total: 1748; upcoming bucket total: 2280.,https://comtradeplus.un.org/DataAvailability
seed-10,10,USDA FAS Saudi Retail Foods Annual,market,tier1,Saudi Arabia,annual,400 days,2026-03-28T14:20:08Z,2025-09-24,,,current,,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Riyadh_Saudi+Arabia_SA2025-0015,,artifacts/collection/raw/seed-10/run-seed-10.pdf,in_review,2027-05-02T14:20:08Z,Extract the covered year or report title from the PDF text so the annual market baseline carries a structured period marker.,USDA FAS GAIN PDF captured on 2026-03-28T14:20:08Z. PDF metadata date: 2025-09-24.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Riyadh_Saudi+Arabia_SA2025-0015
seed-14,14,Agthia Abu Auf IR releases,investor_relations,tier2,Egypt/UAE,quarterly,100 days,,,,,unknown,,,,,pending_review,,"Verify latest publication date, coverage window, and evidence link.",Business proxy only; never direct demographic proof.,https://www.agthia.com/news/agthia-group-consolidates-additional-10-stake-in-egyptian-healthy-snacks-and-coffee-company-abu-auf-group/
seed-15,15,WFP Lebanon food systems publication,market,tier2,Lebanon,periodic,manual review,,,,,unknown,,,,,pending_review,,"Verify latest publication date, coverage window, and evidence link.","Useful for controls and policy framing, not direct event detection.",https://www.wfp.org/publications/strengthening-government-institutions-inclusive-food-systems-transformation-lebanon
seed-16,16,UNSD API catalogue,trade,tier2,Global,as needed,manual review,,,,,unknown,,,,,pending_review,,"Verify latest publication date, coverage window, and evidence link.",Reference source for future API expansion.,https://unstats.un.org/unsd/api/
seed-18,18,Deliveroo UAE trend releases,consumer_trends,tier2,UAE,occasional,manual review,,,,,unknown,,,,,pending_review,,"Verify latest publication date, coverage window, and evidence link.",Soft evidence only; cap at supporting role in migration analysis.,https://deliveroo.ae/more/news-articles/11-dishes-from-uae-restaurants-make-it-to-deliveroo-s-top-100-trending-dishes-of-2024
seed-19,19,Spinneys UAE trends,consumer_trends,tier2,UAE,occasional,manual review,,,,,unknown,,,,,pending_review,,"Verify latest publication date, coverage window, and evidence link.","Use only as weak corroboration, never as standalone proof.",https://www.spinneys.com/en-ae/lifestyle/top-trends-2025/
seed-20,20,Google Trends,trends,tier2,Regional,weekly,8 days,,,,,unknown,,,,,pending_review,,"Verify latest publication date, coverage window, and evidence link.",Weak signal; use only with stronger place or baseline evidence.,https://trends.google.com/explore
seed-21,21,FAO FPMA Food Price Monitoring and Analysis,macro_price,tier1,Global,monthly,35 days,2026-03-25T10:35:00Z,2026-03-12,2026-02,2026-03-25T10:35:00Z,current,source_monitor,https://www.fao.org/markets-and-trade/do-not-touch/all-widgets/food-price-monitoring-and-analysis-%28fpma%29-bulletin--2--12-march-2026---monthly-report-on-food-price-trends/en,,,in_review,2026-04-29T10:35:00Z,Refresh after the next monthly FPMA bulletin posts,"High-value macro confound source for Egypt, Lebanon, Gaza/OPT, Saudi Arabia, and regional spillover monitoring. Verified against the official FAO FPMA Bulletin #2 page on 2026-03-25; the latest visible publication date is 2026-03-12 and it covers February 2026 trends.",https://www.fao.org/giews/food-prices/en/
